   256          Number of colors in the file
 Name                 RGB            R     G     B        C       M        Y       K
     171          16747776        255   141     0        0.000   0.447   1.000   0.000
     172          16747776        255   141     0        0.000   0.447   1.000   0.000
     173          16747776        255   141     0        0.000   0.447   1.000   0.000
     174          16747776        255   141     0        0.000   0.447   1.000   0.000
     175          16747776        255   141     0        0.000   0.447   1.000   0.000
     176          16747776        255   141     0        0.000   0.447   1.000   0.000
     177          16408064        250    94     0        0.000   0.624   1.000   0.020
     178          16408064        250    94     0        0.000   0.624   1.000   0.020
     179          16408064        250    94     0        0.000   0.624   1.000   0.020
     180          16408064        250    94     0        0.000   0.624   1.000   0.020
     181          16408064        250    94     0        0.000   0.624   1.000   0.020
     182          16408064        250    94     0        0.000   0.624   1.000   0.020
     183          16408064        250    94     0        0.000   0.624   1.000   0.020
     184          16408064        250    94     0        0.000   0.624   1.000   0.020
     185          16408064        250    94     0        0.000   0.624   1.000   0.020
     186          16408064        250    94     0        0.000   0.624   1.000   0.020
     187          16408064        250    94     0        0.000   0.624   1.000   0.020
     188          16408064        250    94     0        0.000   0.624   1.000   0.020
     189          16408064        250    94     0        0.000   0.624   1.000   0.020
     190          16408064        250    94     0        0.000   0.624   1.000   0.020
     191          16408064        250    94     0        0.000   0.624   1.000   0.020
     192          16408064        250    94     0        0.000   0.624   1.000   0.020
     193          16056320        245     0     0        0.000   1.000   1.000   0.039
     194          16056320        245     0     0        0.000   1.000   1.000   0.039
     195          16056320        245     0     0        0.000   1.000   1.000   0.039
     196          16056320        245     0     0        0.000   1.000   1.000   0.039
     197          16056320        245     0     0        0.000   1.000   1.000   0.039
     198          16056320        245     0     0        0.000   1.000   1.000   0.039
     199          16056320        245     0     0        0.000   1.000   1.000   0.039
     200          16056320        245     0     0        0.000   1.000   1.000   0.039
     201          16056320        245     0     0        0.000   1.000   1.000   0.039
     202          16056320        245     0     0        0.000   1.000   1.000   0.039
     203          16056320        245     0     0        0.000   1.000   1.000   0.039
     204          16056320        245     0     0        0.000   1.000   1.000   0.039
     205          16056320        245     0     0        0.000   1.000   1.000   0.039
     206          16056320        245     0     0        0.000   1.000   1.000   0.039
     207          16056320        245     0     0        0.000   1.000   1.000   0.039
     208          16056320        245     0     0        0.000   1.000   1.000   0.039
     209          16056455        245     0   135        0.000   1.000   0.449   0.039
     210          16056461        245     0   141        0.000   1.000   0.424   0.039
     211          16056467        245     0   147        0.000   1.000   0.400   0.039
     212          16056473        245     0   153        0.000   1.000   0.376   0.039
     213          16056480        245     0   160        0.000   1.000   0.347   0.039
     214          16056486        245     0   166        0.000   1.000   0.322   0.039
     215          16056492        245     0   172        0.000   1.000   0.298   0.039
     216          16056498        245     0   178        0.000   1.000   0.273   0.039
     217          16056505        245     0   185        0.000   1.000   0.245   0.039
     218          16056511        245     0   191        0.000   1.000   0.220   0.039
     219          16056517        245     0   197        0.000   1.000   0.196   0.039
     220          16056523        245     0   203        0.000   1.000   0.171   0.039
     221          16056530        245     0   210        0.000   1.000   0.143   0.039
     222          16056536        245     0   216        0.000   1.000   0.118   0.039
     223          16056542        245     0   222        0.000   1.000   0.094   0.039
     224          16056548        245     0   228        0.000   1.000   0.069   0.039
     225          14595294        222   180   222        0.000   0.189   0.000   0.129
     226          14595294        222   180   222        0.000   0.189   0.000   0.129
     227          14595294        222   180   222        0.000   0.189   0.000   0.129
     228          14595294        222   180   222        0.000   0.189   0.000   0.129
     229          14595294        222   180   222        0.000   0.189   0.000   0.129
     230          14595294        222   180   222        0.000   0.189   0.000   0.129
     231          14595294        222   180   222        0.000   0.189   0.000   0.129
     232          14595294        222   180   222        0.000   0.189   0.000   0.129
     233          14595294        222   180   222        0.000   0.189   0.000   0.129
     234          14595294        222   180   222        0.000   0.189   0.000   0.129
     235          14595294        222   180   222        0.000   0.189   0.000   0.129
     236          14595294        222   180   222        0.000   0.189   0.000   0.129
     237          14595294        222   180   222        0.000   0.189   0.000   0.129
     238          14595294        222   180   222        0.000   0.189   0.000   0.129
     239          14595294        222   180   222        0.000   0.189   0.000   0.129
     240          14595294        222   180   222        0.000   0.189   0.000   0.129
     241          16777215        255   255   255        0.000   0.000   0.000   0.000
     242          16777215        255   255   255        0.000   0.000   0.000   0.000
     243          16777215        255   255   255        0.000   0.000   0.000   0.000
     244          16777215        255   255   255        0.000   0.000   0.000   0.000
     245          16777215        255   255   255        0.000   0.000   0.000   0.000
     246          16777215        255   255   255        0.000   0.000   0.000   0.000
     247          16777215        255   255   255        0.000   0.000   0.000   0.000
     248          16777215        255   255   255        0.000   0.000   0.000   0.000
     249          16777215        255   255   255        0.000   0.000   0.000   0.000
     250          16777215        255   255   255        0.000   0.000   0.000   0.000
     251          16777215        255   255   255        0.000   0.000   0.000   0.000
     252          16777215        255   255   255        0.000   0.000   0.000   0.000
     253          16777215        255   255   255        0.000   0.000   0.000   0.000
     254          16777215        255   255   255        0.000   0.000   0.000   0.000
     255          16777215        255   255   255        0.000   0.000   0.000   0.000
     256          16777215        255   255   255        0.000   0.000   0.000   0.000
