   256          Number of colors in the file
 Name                             RGB       R     G     B        C        M        Y        K
  208                           16728064  255   64    0   0.000   0.749   1.000   0.000
  209                           16727040  255   60    0   0.000   0.765   1.000   0.000
  210                           16726016  255   56    0   0.000   0.780   1.000   0.000
  211                           16724992  255   52    0   0.000   0.796   1.000   0.000
  212                           16723968  255   48    0   0.000   0.812   1.000   0.000
  213                           16722944  255   44    0   0.000   0.827   1.000   0.000
  214                           16721920  255   40    0   0.000   0.843   1.000   0.000
  215                           16720896  255   36    0   0.000   0.859   1.000   0.000
  216                           16719872  255   32    0   0.000   0.875   1.000   0.000
  217                           16718848  255   28    0   0.000   0.890   1.000   0.000
  218                           16717824  255   24    0   0.000   0.906   1.000   0.000
  219                           16716800  255   20    0   0.000   0.922   1.000   0.000
  220                           16715776  255   16    0   0.000   0.937   1.000   0.000
  221                           16714752  255   12    0   0.000   0.953   1.000   0.000
  222                           16713728  255    8    0   0.000   0.969   1.000   0.000
  223                           16712704  255    4    0   0.000   0.984   1.000   0.000
  224                           16711680  255    0    0   0.000   1.000   1.000   0.000
  225                           16449536  251    0    0   0.000   1.000   1.000   0.016
  226                           16187392  247    0    0   0.000   1.000   1.000   0.031
  227                           15925248  243    0    0   0.000   1.000   1.000   0.047
  228                           15663104  239    0    0   0.000   1.000   1.000   0.063
  229                           15400960  235    0    0   0.000   1.000   1.000   0.078
  230                           15138816  231    0    0   0.000   1.000   1.000   0.094
  231                           14876672  227    0    0   0.000   1.000   1.000   0.110
  232                           14614528  223    0    0   0.000   1.000   1.000   0.125
  233                           14352384  219    0    0   0.000   1.000   1.000   0.141
  234                           14090240  215    0    0   0.000   1.000   1.000   0.157
  235                           13828096  211    0    0   0.000   1.000   1.000   0.173
  236                           13565952  207    0    0   0.000   1.000   1.000   0.188
  237                           13303808  203    0    0   0.000   1.000   1.000   0.204
  238                           13041664  199    0    0   0.000   1.000   1.000   0.220
  239                           12779520  195    0    0   0.000   1.000   1.000   0.235
  240                           12517376  191    0    0   0.000   1.000   1.000   0.251
  241                           12255232  187    0    0   0.000   1.000   1.000   0.267
  242                           11993088  183    0    0   0.000   1.000   1.000   0.282
  243                           11730944  179    0    0   0.000   1.000   1.000   0.298
  244                           11468800  175    0    0   0.000   1.000   1.000   0.314
  245                           11206656  171    0    0   0.000   1.000   1.000   0.329
  246                           10944512  167    0    0   0.000   1.000   1.000   0.345
  247                           10682368  163    0    0   0.000   1.000   1.000   0.361
  248                           10420224  159    0    0   0.000   1.000   1.000   0.376
  249                           10158080  155    0    0   0.000   1.000   1.000   0.392
  250                            9895936  151    0    0   0.000   1.000   1.000   0.408
  251                            9633792  147    0    0   0.000   1.000   1.000   0.424
  252                            9371648  143    0    0   0.000   1.000   1.000   0.439
  253                            9109504  139    0    0   0.000   1.000   1.000   0.455
  254                            8847360  135    0    0   0.000   1.000   1.000   0.471
  255                            8585216  131    0    0   0.000   1.000   1.000   0.486
  256                             0         0    0    0   0.000   0.000   0.000   1.000
